id	name	gender	born_in	die_in	fa_label
211	Asadollah Bayat Zanjani	male			اسدالله بیات زنجانی
212	جعفر بهبهانی				جعفر بهبهانی
213	Ahmad Matin Daftari	male	Tehran	Tehran	احمد متین دفتری
214	Sadegh Kharazi	male	Tehran		سید محمدصادق خرازی
215	Mohammad Ali Khan Ala al Saltaneh				محمدعلی علاءالسلطنه
216	ابوالفضل اسلامی				ابوالفضل اسلامی
217	Hamid Sajjadi	male			حمید سجادی
218	سید طاهر طاهری				سید طاهر طاهری
219	Bahram Mavaddat	male	Tehran		بهرام مودت
220	اسماعیل ططری				اسماعیل ططری
221	Mohammad Bagher Nobakht	male	Rasht		محمدباقر نوبخت
222	Mahmoud Ahmadinejad	male	Aradan, Iran		محمود احمدی‌نژاد
223	Hossein Khan Sardar	male			حسینقلی خان سردار ایروانی
224	Daud Khan Undiladze	male			داوود خان گرجی
225	Ahmad Khorram	male	Isfahan		احمد خرم
226	Alireza Zakani	male			علیرضا زاکانی
227	Ahmad Ahmadi (philosopher)	male			احمد احمدی (نماینده مجلس)
228	Reza Pahlavi	male	Tehran		رضا پهلوی
229	Farah Pahlavi	female	Tehran		فرح پهلوی
230	Bijan Namdar Zangeneh	male	Kermanshah		ب̘ن نامدار زنگنه
231	Abdolhossein Hazhir	male	Kashan	Tehran	عبدالحسین هژیر
232	Iradj Fazel	male	Ardestan		ایرج فاضل
233	میرزا حسین اصفهانی				میرزا حسین اصفهانی
234	Abdullah Entezam	male		Tehran	عبدالله انتظام
235	Amir Mohebbian	male	Tehran		امیر محبیان
236	Mostafa Kavakebian	male			مصطفی کواکبیان
237	Abdollah Ramezanzadeh	male	Tehran		عبدالله رمضان‌زاده
238	Ali Akbar Mohtashamipur	male	Tehran		علی‌اکبر محتشمی‌پور
239	Hassan Habibi	male	Tehran		حسن حبیبی
240	Cabinet of Iran	male			هیئت دولت ایران
241	Mohammad Abbasi	male			محمد عباسی
242	Ruhollah Khomeini	male	Khomeyn	Tehran	سید روح‌الله خمینی
243	Ali Akbar Mehrabian	male			علی‌اکبر محرابیان
244	Akbar Alami	male			اکبر اعلمی
245	Iraj Pezeshkzad	male			ایرج پزشک‌زاد
246	Ciamak Moresadegh	male			سیامک مره صدق
247	Mohammad Ali Abtahi	male	Mashhad		محمدعلی ابطحی
248	Ahmad Shirzad	male			احمد شیرزاد
249	Mohammad Taqi Mesbah Yazdi	male	Yazd		محمدتقی مصباح یزدی
250	Hushang Ansary	male	Ahvaz		هوشنگ انصاری
251	Parviz Fattah	male	Urmia		پرویز فتاح
252	Ataollah Mohajerani	male	Arak, Iran		عطاءالله مهاجرانی
253	Ali Akbar Dehkhoda	male	Tehran		علی‌اکبر دهخدا
254	Hassan Khomeini	male	Qom		سید حسن خمینی
255	Sayyid Hossein Ardabili	male			سیدحسین اردبیلی
256	Hassan Ayat	male			سید حسن آیت
257	Reza Sheykholeslam	male	Chalus, Iran		عبدالرضا شیخ‌الاسلامی
258	صفر لفوتی		Astaneh ye Ashrafiyeh		صفر لفوتی
259	الیاس نادران		Shahrud, Iran		الیاس نادران
260	سلطان محمد خان سردار اشجع				سلطان محمد خان سردار اشجع
261	Hassan Rahimpour Azghadi	male			حسن رحیم‌پور ازغدی
262	Mohammad Reza Ameli Tehrani	male	Tehran	Tehran	محمدرضا عاملی تهرانی
263	احمد دهقان (نماینده مجلس)				احمد دهقان (نماینده مجلس)
264	Ali Soheili	male	Tabriz	London	علی سهیلی
265	Hamid Behbahani	male	Behbahan		حمید بهبهانی
266	Mohsen Sadr	male	Mahallat	Tehran	محسن صدر
267	Fatemeh Karroubi	female			فاطمه کروبی
268	Saeed Jalili	male	Mashhad		سعید جلیلی
269	Ali Asghar Soltanieh	male			علی‌اصغر سلطانیه
270	Mohammad Hossein Adeli	male	Ahvaz		محمدحسین عادلی
271	Mohsen Rafighdoost	male	Tehran		محسن رفیقدوست
272	بهروز کمالوندی				بهروز کمالوندی
273	Hassan Ali Mansur	male	Tehran	Tehran	حسنعلی منصور
274	Emad Afroogh	male	Shiraz		عماد افروغ
275	حسین علیزاده (دیپلمات)				حسین علیزاده
