id	name	gender	born_in	die_in	fa_label
374	Ebrahim Yazdi	male	Qazvin		ابراهیم یزدی
375	Hassan Taqizadeh	male	Tabriz	Tehran	حسن تقی‌زاده
376	Rostam Ghasemi	male			رستم قاسمی
377	Abbas Araghchi	male			سید عباس عراقچی
378	Mostafa Chamran	male	Tehran		مصطفی چمران
379	Hajj Mirza Aghasi	male	Maku, Iran		حاجی میرزا آقاسی
380	Bahaedin Adab	male			بهاءالدین ادب
381	Saad ad Daula	male		Isfahan	نجفقلی صمصام‌السلطنه
382	Bāqer Khān	male	Tabriz	Qasr e Shirin	باقرخان
383	Patrick Ali Pahlavi	male			علی پاتر̩ پهلوی
384	حسن ‌أمیني				حسن امینی
385	عباس امیری‌فر				عباس امیری‌فر
386	محمد سریر				محمد سریر
387	Fereydoon Hoveyda	male	Damascus	Clifton, Virginia	فریدون هویدا
388	Mohammad Reza Khatami	male	Ardakan		سید محمدرضا خاتمی
389	Hamid Reza Haji Babaee	male	Hamedan		حمیدرضا حاجی‌بابایی
390	Azam Taleghani	female			اعظم طالقانی
391	Behzad Nabavi	male	Tehran		بهزاد نبوی
392	امیرقلی امینی				امیرقلی امینی
393	Hamid Mowlana	male			حمید مولانا
394	Sattar Khan	male		Tehran	ستارخان
395	Mohammad Ali Jafari	male	Yazd		محمدعلی جعفری
396	محمد میرزا کاشف‌السلطنه				محمد میرزا کاشف‌السلطنه
397	Gholam Hossein Nozari	male	Kazerun		غلامحسین نوذری
398	Mohammad Reyshahri	male	Rey, Iran		محمد ری‌شهری
399	Parviz Kazemi	male	Tehran		پرویز کاظمی
400	Abbas Maleki	male			عباس ملکی
401	Alireza Noori	male			علیرضا نوری
402	Mohammad Gharazi	male	Isfahan		سید محمد غرضی
403	Jafar Sharif Emami	male	Tehran	New York City	جعفر شریف‌امامی
404	Sadegh Ghotbzadeh	male	Isfahan	Tehran	صادق قطب‌زاده
405	Hassan Rouhani	male	Sorkheh		حسن روحانی
406	Mohammad Bagher Kharazi	male			سید محمدباقر خرازی
407	Hossein Dehghan	male	Dehaqan		حسین دهقان
408	محمدکاظم سجادپور				محمدکاظم سجادپور
409	Kamal Habibollahi	male			کمال‌الدین میرحبیب‌اللهی
410	Mohammad Mosaddegh	male	Tehran	Ahmadabad e Mosaddeq	محمد مصدق
411	Sadegh Sharafkandi	male			صادق شرفکندی
412	Mohammad Reza Bahonar	male	Kerman		محمدرضا باهنر
413	Gholam Reza Azhari	male	Shiraz		غلامرضا ازهاری
414	Akbar Torkan	male	Tehran		اکبر ترکان
415	Reza Pahlavi	male	Tehran		رضا پهلوی (دوم)
416	Esfandiar Rahim Mashaei	male			اسفندیار رحیم‌مشایی
417	زکریا انصاری				زکریا انصاری
418	Mirza Riza Khan				پرنس ارفع
419	Mohammad Reza Aref	male	Yazd		محمدرضا عارف
420	Ali Reza Khan Azod al Molk	male			عضدالملک
421	Hassan Sobhani	male	Damghan		حسن سبحانی
422	Ahmad Jannati	male	Isfahan		احمد جنتی
423	Amirreza Amirbakhtiar	male	Ahvaz		امیررضا امیربختیار
424	Nasrollah Entezam	male	Tehran	Tehran	نصرالله انتظام
425	Mohammad Reza Eskandari		Ahvaz		محمدرضا اسکندری
426	علی مصطفوی				علی مصطفوی
427	Ali Kordan	male		Tehran	علی کردان
428	Esmail Shooshtari	male	Nishapur		اسماعیل شوشتری
429	Ali Motahari	male			علی مطهری
430	Mehdi Karroubi	male	Aligudarz		مهدی کروبی
431	Ali Mansur	male	Tehran	Tehran	علی منصور
432	Hassan Pirnia	male	Tabriz	Tehran	حسن پیرنیا
433	محمد فرهادی		Shahrud, Iran		محمد فرهادی
434	Sadegh Khalkhali	male	Khalkhal, Ardabil	Tehran	صادق خلخالی
435	Ali Nikzad	male	Ardabil		علی ن̩زاد
436	Shivan Qaderi	male			کمال اسفرم
437	Yousef Saanei	male			یوسف صانعی
438	Sheikh Ali khan Zangeneh	male			شیخعلی‌خان زنگنه
439	علی‌محمد بشارتی جهرمی		Jahrom		علی‌محمد بشارتی جهرمی
440	Abolqasem Najm	male	Tehran	Tehran	ابوالقاسم نجم
441	Ali Larijani	male	Najaf		علی لاریجانی
442	حسین رسام				حسین رسام
443	Samad Khan Momtaz os Saltaneh	male	Tehran	Paris	ممتاز السلطنه
444	Abdol Majid Mirza				عین‌الدوله
445	کاظم حسیبی				کاظم حسیبی
446	Amir Abbas Hoveyda	male	Tehran	Tehran	امیرعباس هویدا
447	حمیدرضا کاتوزیان				حمیدرضا کاتوزیان
448	Ahmad Kashani	male			سید احمد کاشانی
449	Farrokhroo Parsa	female	Qom	Tehran	فرخ‌رو پارسا
450	سید ابراهیم رئیسی				سید ابراهیم رئیسی
451	محمد تقی خان بختیاری				محمد تقی خان بختیاری
452	Mohammad Javad Larijani	male	Najaf		محمدجواد لاریجانی
453	Mahmudali Chehregani	male			محمودعلی چهرگانی
454	Abdol Hossein Mirza Farmanfarma		Tabriz	Tehran	عبدالحسین میرزا فرمانفرما
455	Abbas Ali Khalatbari	male	Tehran	Tehran	عباسعلی خلعتبری
456	Mohammad Ali Ramin	male			محمدعلی رامین
457	احمدرضوی				احمدرضوی
458	Iraj Eskandari	male	Tehran	East Berlin	ایرج اسکندری
459	لیلی امیرارجمند				لیلی امیرارجمند
460	Mohsen Nourbakhsh	male	Isfahan	Tehran	محسن نوربخش
461	Khazal al Kabi	male	Ahvaz	Tehran	شیخ خزعل
462	Reza Qoli Khan Hedayat	male			رضاقلی‌خان هدایت
463	Rafat Bayat	female	Zanjan, Iran		رفعت بیات
464	Abdolvahed Mousavi Lari	male	Tehran		عبدالواحد موسوی لاری
465	حسن قشقاوی				حسن قشقاوی
466	Gholam Hossein Sadighi	male	Tehran	Tehran	غلامحسین صدیقی
467	Mohammad Bagher Ghalibaf	male	Torqabeh		محمدباقر قالیباف
468	Mohammed Sharif Malekzadeh	male			محمدشریف ملک‌زاده
469	Abu Muslim Khorasani	male	Merv		ابومسلم خراسانی
470	Simko Shikak	male			اسماعیل آقا سیمیتقو
471	Abdollah Nouri	male	Isfahan		عبدالله نوری
472	Abolfazl Fateh	male			ابوالفضل فاتح
473	Mohammad Mousavi Khoeiniha	male	Qazvin		سید محمد موسوی خوئینی‌ها
474	Mozzafar Baghai	male	Kerman	Tehran	مظفر بقائی
475	Mohammad Javad Zarif	male	Tehran		محمدجواد ظریف
476	حاج باباخان اردبیلی				حاج باباخان اردبیلی
477	Hassan Shah Safi	male			حسن شاه‌صفی
478	Sadegh Tabatabai	male	Qom		صادق طباطبایی
479	Ebrahim Hakimi	male	Tabriz	Tehran	ابراهیم حکیمی
480	Mohammad Beheshti	male	Isfahan	Tehran	سید محمد بهشتی
481	Jamshid Amouzegar	male	Tehran		جمشید آموزگار
482	Mir Hossein Mousavi	male	Khamaneh		میرحسین موسوی
483	Kamran Daneshjoo	male	Damghan		کامران دانشجو
484	جعفر مشیرالدوله				جعفر مشیرالدوله
485	Mohammad Javad Bahonar	male	Kerman	Tehran	محمدجواد باهنر
486	Kazem Rajavi	male	Tabas	Coppet	کاظم رجوی
487	Davoud Ahmadinejad	male			داوود احمدی‌نژاد
488	Hossein Fatemi	male	Nain, Iran	Tehran	حسین فاطمی
489	علی اکبر فرازی				علی اکبر فرازی
490	Abdolreza Mesri	male	Kermanshah		عبدالرضا مصری
491	Jahangir Amuzegar	male			جهانگیر آموزگار
492	Jamal Karimi Rad	male	Qazvin	Salafchegan	جمال کریمی‌راد
493	Nasrin Soltankhah	female	Tehran		نسرین سلطان‌خواه
494	محمد خزاعی		Kashmar		محمد خزاعی
495	Hassan Nayebagha	male	Tehran		حسن نایب‌آقا
496	احمد اقبال				احمد اقبال
497	Ali Murad Davudi	male			علی‌مراد داودی
